Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
The Sandman: Season 1,Yes,05-08-2022,"5,67,00,000",English,Show
True Spirit,Yes,03-02-2023,"5,67,00,000",English,Movie
CoComelon: Season 5,No,31-03-2022,"5,66,00,000",English,Show
Gilmore Girls: Season 7,Yes,,"5,65,00,000",English,Show
The Strays,Yes,22-02-2023,"5,65,00,000",English,Movie
Suits (2011): Season 5,Yes,,"5,64,00,000",English,Show
The Croods,No,,"5,64,00,000",English,Movie
Grizzy and the Lemmings: Season 1,No,,"5,63,00,000",English,Show
The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,29-09-2022,"5,60,00,000",English,Show
Matilda (1996),No,,"5,57,00,000",English,Movie
Outlast: Season 1,Yes,10-03-2023,"5,55,00,000",English,Show
The Good Doctor: Season 1,No,,"5,55,00,000",English,Show
CoComelon: Season 7,No,14-02-2023,"5,52,00,000",English,Show
Jane The Virgin: Season 1,Yes,,"5,52,00,000",English,Show
The Blacklist: Season 4,No,,"5,52,00,000",English,Show
VINLAND SAGA: Season 2 // ãƒ´ã‚£ãƒ³ãƒ©ãƒ³ãƒ‰ãƒ»ã‚µã‚¬: ã‚·ãƒ¼ã‚ºãƒ³2,No,,"5,51,00,000",Japanese,Show
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,No,09-11-2018,"5,50,00,000",English,Show
Brooklyn Nine-Nine: Season 2,No,,"5,48,00,000",English,Show
Carinha de Anjo: Season 1,No,,"5,44,00,000",English,Show
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",No,31-07-2017,"5,44,00,000",English,Show
The Circle: Season 5,Yes,28-12-2022,"5,44,00,000",English,Show
The Ultimatum: Queer Love: Season 1,Yes,24-05-2023,"5,38,00,000",English,Show
Never Have I Ever: Season 2,Yes,15-07-2021,"5,37,00,000",English,Show
Brooklyn Nine-Nine: Season 3,No,,"5,36,00,000",English,Show
Â¡Que viva MÃ©xico!,Yes,11-05-2023,"5,35,00,000",Non-English,Movie
Emily in Paris: Season 2,Yes,22-12-2021,"5,33,00,000",English,Show
The Last Kingdom: Season 5,No,09-03-2022,"5,33,00,000",English,Show
