Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
Twenty Five Twenty One: Season 1 // ìŠ¤ë¬¼ë‹¤ì„¯ ìŠ¤ë¬¼í•˜ë‚˜: ì‹œì¦Œ 1,Yes,12-02-2022,"4,78,00,000",Korean,Show
Shrek 2,No,,"4,75,00,000",English,Movie
JUNG_E // ì •ì´,Yes,20-01-2023,"4,71,00,000",Korean,Movie
Friends (1994): Season 3,No,,"4,69,00,000",English,Show
The School for Good and Evil,Yes,19-10-2022,"4,69,00,000",English,Movie
Puss in Boots (2011),No,,"4,66,00,000",English,Movie
The Thundermans: Season 2,No,,"4,65,00,000",English,Show
Friends (1994): Season 1,No,,"4,64,00,000",English,Show
Teen Titans Go!: Season 1,No,,"4,64,00,000",English,Show
Rana Naidu: Season 1 // à¤°à¤¾à¤£à¤¾ à¤¨à¤¾à¤¯à¤¡à¥‚: à¤¸à¥€à¥›à¤¨ 1,Yes,10-03-2023,"4,63,00,000",Hindi,Show
From Scratch: Limited Series,Yes,21-10-2022,"4,62,00,000",English,Movie
Bake Squad: Season 2,Yes,20-01-2023,"4,61,00,000",English,Show
Friends (1994): Season 7,No,,"4,61,00,000",English,Show
Under the Queen's Umbrella: Limited Series // ìŠˆë£¹: ë¦¬ë¯¸í‹°ë“œ ì‹œë¦¬ì¦ˆ,Yes,15-10-2022,"4,61,00,000",Korean,Movie
Ganglands: Season 2 // Braqueurs : La sÃ©rie: Saison 2,Yes,17-02-2023,"4,60,00,000",Non-English,Show
The Queen's Gambit: Limited Series,Yes,23-10-2020,"4,59,00,000",English,Movie
Virgin River: Season 4,Yes,20-07-2022,"4,59,00,000",English,Show
Gabby's Dollhouse: Season 7,Yes,20-03-2023,"4,58,00,000",English,Show
A Beautiful Life,Yes,01-06-2023,"4,57,00,000",English,Movie
Peppa Pig: Season 6,No,,"4,57,00,000",English,Show
Copycat Killer: Season 1 // æ¨¡ä»¿çŠ¯: ç¬¬ 1 å­£,Yes,31-03-2023,"4,56,00,000",Non-English,Show
Avatar: The Last Airbender: Book 1,No,,"4,55,00,000",English,Movie
Friends (1994): Season 9,No,,"4,54,00,000",English,Show
Peaky Blinders: Season 2,No,14-11-2014,"4,54,00,000",English,Show
The Flash (2014): Season 2,No,,"4,54,00,000",English,Show
Boys Over Flowers: Volume 1 // ê½ƒë³´ë‹¤ ë‚¨ìž: 1ê¶Œ,No,,"4,53,00,000",Korean,Movie
The Office (U.S.): Season 2,No,,"4,53,00,000",English,Show
Transatlantic: Limited Series,Yes,07-04-2023,"4,53,00,000",English,Movie
Friends (1994): Season 4,No,,"4,52,00,000",English,Show
Masha and the Bear: Season 2,No,,"4,51,00,000",English,Show
Friends (1994): Season 8,No,,"4,49,00,000",English,Show
The Woman King,No,,"4,49,00,000",English,Movie
Love Island USA: Season 2,No,,"4,48,00,000",English,Show
Money Heist: Part 5 // La casa de papel: Parte 5,Yes,03-09-2021,"4,47,00,000",English,Movie
The Walking Dead: Season 1,No,,"4,46,00,000",English,Show
Grey's Anatomy: Season 3,No,,"4,43,00,000",English,Show
S.W.A.T. (2017): Season 3,No,,"4,42,00,000",English,Show
Las muÃ±ecas de la mafia: Season 1,No,01-07-2015,"4,40,00,000",Non-English,Show
Lucifer: Season 4,No,08-05-2019,"4,40,00,000",English,Show
Better Call Saul: Season 5,No,24-02-2020,"4,39,00,000",English,Show
Teen Wolf (2011): Season 3,No,,"4,39,00,000",English,Show
Friends (1994): Season 2,No,,"4,38,00,000",English,Show
In Love All Over Again: Season 1 // Todas las veces que nos enamoramos: Season 1,Yes,14-02-2023,"4,38,00,000",English,Show
PIECES OF HER: Season 1,Yes,04-03-2022,"4,38,00,000",English,Show
F9: The Fast Saga,No,,"4,37,00,000",English,Movie
The 100: Season 1,No,,"4,36,00,000",English,Show
The Blacklist: Season 7,No,,"4,35,00,000",English,Show
Vikings (2013): Season 5,No,,"4,34,00,000",English,Show
Shameless (U.S.): Season 2,No,,"4,33,00,000",English,Show
The Office (U.S.): Season 6,No,,"4,33,00,000",English,Show
El Chema: Season 1,No,,"4,32,00,000",English,Show
Rosario Tijeras (Mexico): Season 2,No,,"4,32,00,000",English,Show
Santiago of the Seas: Season 1,No,,"4,32,00,000",English,Show
Seinfeld: Season 6,Yes,,"4,32,00,000",English,Show
Inside Man: Season 1,Yes,31-10-2022,"4,31,00,000",English,Show
The Last Kingdom: Season 4,No,26-04-2020,"4,29,00,000",English,Show
Through My Window 2: Across the Sea // A travÃ©s de mi ventana 2: A travÃ©s del mar,Yes,23-06-2023,"4,29,00,000",Non-English,Movie
CoComelon: Season 6,Yes,05-09-2022,"4,28,00,000",English,Show
Seinfeld: Season 4,Yes,,"4,28,00,000",English,Show
Valeria: Season 3,Yes,02-06-2023,"4,28,00,000",English,Show
PokÃ©mon The Series: Indigo League: Season 1 // ãƒã‚±ãƒƒãƒˆãƒ¢ãƒ³ã‚¹ã‚¿ãƒ¼,No,,"4,27,00,000",Japanese,Show
Purple Hearts,Yes,29-07-2022,"4,27,00,000",English,Movie
The Last Kingdom: Season 3,Yes,19-11-2018,"4,27,00,000",English,Show
Waco: American Apocalypse: Limited Series,Yes,22-03-2023,"4,27,00,000",English,Movie
Gabby's Dollhouse: Season 2,Yes,10-08-2021,"4,26,00,000",English,Show
Too Hot to Handle: Season 4,Yes,07-12-2022,"4,26,00,000",English,Show
Guillermo del Toroâ€™s Pinocchio,Yes,09-12-2022,"4,25,00,000",Non-English,Movie
Unlocked // ìŠ¤ë§ˆíŠ¸í°ì„ ë–¨ì–´ëœ¨ë ¸ì„ ë¿ì¸ë°,Yes,17-02-2023,"4,25,00,000",Korean,Movie
The Crown: Season 1,Yes,04-11-2016,"4,24,00,000",English,Show
Arrow: Season 1,No,,"4,23,00,000",English,Show
Blippi's Adventures: Season 1,Yes,,"4,21,00,000",English,Show
The Good Doctor: Season 4,No,,"4,21,00,000",English,Show
Lucifer: Season 6,No,10-09-2021,"4,18,00,000",English,Show
"Pamela, a love story",Yes,31-01-2023,"4,18,00,000",English,Movie
Chor Nikal Ke Bhaga // à¤šà¥‹à¤° à¤¨à¤¿à¤•à¤² à¤•à¥‡ à¤­à¤¾à¤—à¤¾,Yes,24-03-2023,"4,17,00,000",Hindi,Movie
Seinfeld: Season 7,Yes,,"4,17,00,000",English,Show
The Garfield Show: Season 1,No,,"4,15,00,000",English,Show
Agency: Season 1 // ëŒ€í–‰ì‚¬: ì‹œì¦Œ 1,No,,"4,14,00,000",Korean,Show
White Chicks,No,,"4,14,00,000",English,Movie
Wellmania: Season 1,Yes,29-03-2023,"4,13,00,000",English,Show
Seinfeld: Season 3,Yes,,"4,12,00,000",English,Show
The Creature Cases: Chapter 1,Yes,12-04-2022,"4,12,00,000",English,Movie
Maestro in Blue: Season 1 // Maestro: Season 1,Yes,18-12-2022,"4,11,00,000",English,Show
Turbo (2013),No,,"4,11,00,000",English,Movie
McGREGOR FOREVER: Limited Series,Yes,17-05-2023,"4,10,00,000",English,Movie
Black Money Love: Season 1 // Kara Para Ask: Sezon 1,No,,"4,09,00,000",English,Show
Bloodshot (2020),No,,"4,09,00,000",English,Movie
The Flash (2014): Season 8,No,,"4,09,00,000",English,Show
El Chapo: Season 1,Yes,16-06-2017,"4,06,00,000",English,Show
Shameless (U.S.): Season 3,No,,"4,06,00,000",English,Show
Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc // é¬¼æ»…ã®åˆƒ: åˆ€é›å†¶ã®é‡Œç·¨,No,,"4,05,00,000",Japanese,Movie
Jane The Virgin: Season 2,No,,"4,04,00,000",English,Show
The Snitch Cartel: Origins: Season 1 // El cartel de los sapos: El origen: Temporada 1,No,28-07-2021,"4,04,00,000",English,Show
Guillermo del Toro's Cabinet of Curiosities: Season 1,Yes,25-10-2022,"4,03,00,000",English,Show
PokÃ©mon Journeys: The Series: Season 1,No,,"4,03,00,000",Non-English,Show
Seinfeld: Season 5,Yes,,"4,03,00,000",English,Show
Shrek Forever After,No,,"4,03,00,000",English,Movie
The 100: Season 2,No,,"4,03,00,000",English,Show
Unsolved Mysteries: Volume 3,Yes,18-10-2022,"4,03,00,000",English,Movie
Better Call Saul: Season 3,No,11-04-2017,"4,02,00,000",English,Show
The Last Kingdom: Season 2,Yes,20-03-2017,"4,02,00,000",English,Show
Too Hot to Handle: Germany: Season 1,Yes,28-02-2023,"4,02,00,000",English,Show
Avatar: The Last Airbender: Book 3,No,,"4,01,00,000",English,Movie
Our Planet,Yes,05-04-2019,"4,01,00,000",English,Movie
H2O: Just Add Water: Season 1,No,,"4,00,00,000",English,Show
The King: Eternal Monarch: Season 1 // ë” í‚¹: ì˜ì›ì˜ êµ°ì£¼: ì‹œì¦Œ 1,Yes,17-04-2020,"3,99,00,000",Korean,Show
The Office (U.S.): Season 7,No,,"3,99,00,000",English,Show
Grey's Anatomy: Season 5,No,,"3,98,00,000",English,Show
Emergency: NYC: Season 1,Yes,29-03-2023,"3,97,00,000",English,Show
In the Name of God: A Holy Betrayal: Season 1 // ë‚˜ëŠ” ì‹ ì´ë‹¤: ì‹ ì´ ë°°ì‹ í•œ ì‚¬ëžŒë“¤: ì‹œì¦Œ 1,Yes,03-03-2023,"3,97,00,000",Korean,Show
Better Call Saul: Season 2,No,15-02-2016,"3,95,00,000",English,Show
Gabby's Dollhouse: Season 6,Yes,01-11-2022,"3,95,00,000",English,Show
Infiesto,Yes,03-02-2023,"3,95,00,000",English,Movie
Sanctuary: Season 1 // ã‚µãƒ³ã‚¯ãƒãƒ¥ã‚¢ãƒª -è–åŸŸ-: ã‚·ãƒ¼ã‚ºãƒ³1,No,04-05-2023,"3,94,00,000",Japanese,Show
Suits (2011): Season 8,No,,"3,94,00,000",English,Show
Ganglands: Season 1 // Braqueurs : La sÃ©rie: Saison 1,Yes,24-09-2021,"3,93,00,000",Non-English,Show
The Hunger Games,No,,"3,93,00,000",English,Movie
Trolley: Limited Series // íŠ¸ë¡¤ë¦¬: ë¦¬ë¯¸í‹°ë“œ ì‹œë¦¬ì¦ˆ,Yes,19-12-2022,"3,92,00,000",Korean,Movie
High Heat: Season 1 // Donde hubo fuego: Season 1,Yes,17-08-2022,"3,91,00,000",English,Show
Rosario Tijeras (Mexico): Season 3,No,,"3,89,00,000",English,Show
The Sinner: Season 4: Percy,No,26-01-2022,"3,89,00,000",English,Show
Avatar: The Last Airbender: Book 2,No,,"3,87,00,000",English,Movie
Ozark: Season 4,Yes,21-01-2022,"3,87,00,000",English,Show
Shark Tale,No,,"3,87,00,000",English,Movie
The Hatchet Wielding Hitchhiker,Yes,10-01-2023,"3,87,00,000",English,Movie
6 Underground,Yes,13-12-2019,"3,86,00,000",English,Movie
Better Call Saul: Season 4,No,07-08-2018,"3,86,00,000",English,Show
Narcos: Season 2,Yes,02-09-2016,"3,86,00,000",English,Show
Grey's Anatomy: Season 6,No,,"3,84,00,000",English,Show
Mother's Day // DzieÅ„ Matki,Yes,24-05-2023,"3,83,00,000",Non-English,Movie
Orange Is the New Black: Season 2,Yes,06-06-2014,"3,83,00,000",English,Show
Vikings (2013): Season 6,No,,"3,83,00,000",English,Show
El Chapo: Season 2,Yes,15-12-2017,"3,82,00,000",English,Show
Brooklyn Nine-Nine: Season 6,No,,"3,81,00,000",English,Show
Queer Eye: Season 7,Yes,12-05-2023,"3,81,00,000",English,Show
Sleeping Dog: Limited Series // Schlafende Hunde: Miniserie,Yes,22-06-2023,"3,80,00,000",English,Movie
The Big Bang Theory: Season 4,No,,"3,80,00,000",English,Show
The Good Doctor: Season 2,No,,"3,80,00,000",English,Show
CÃºmplices de um Resgate: Season 1,No,,"3,78,00,000",Non-English,Show
The Big Bang Theory: Season 6,No,,"3,78,00,000",English,Show
The Flash (2014): Season 3,No,,"3,77,00,000",English,Show
The Good Doctor: Season 3,No,,"3,77,00,000",English,Show
Back to the Outback,Yes,10-12-2021,"3,76,00,000",English,Movie
Booba: Season 4,Yes,,"3,76,00,000",English,Show
The Big Bang Theory: Season 7,No,,"3,76,00,000",English,Show
Vikings (2013): Season 1,No,,"3,76,00,000",English,Show
As Aventuras de Poliana: Season 1,No,,"3,75,00,000",English,Show
The Big Bang Theory: Season 5,No,,"3,74,00,000",English,Show
The Rookie: Season 1,No,,"3,74,00,000",English,Show
Fauda: Season 1 // ×¤××•×“×”: ×¢×•× ×” 1,Yes,02-12-2016,"3,73,00,000",Non-English,Show
Mr. Sunshine: Season 1 // ë¯¸ìŠ¤í„° ì…˜ìƒ¤ì¸: ì‹œì¦Œ 1,Yes,07-07-2018,"3,73,00,000",Korean,Show
2 Guns,No,,"3,71,00,000",English,Movie
"Lyle, Lyle, Crocodile",No,,"3,71,00,000",English,Movie
Money Heist: Part 2 // La casa de papel: Parte 2,Yes,30-11-2017,"3,71,00,000",English,Movie
Outlander: Season 2,No,10-04-2016,"3,71,00,000",English,Show
Queens on the Run // Fuga de reinas,No,14-04-2023,"3,71,00,000",English,Movie
Shameless (U.S.): Season 4,No,,"3,71,00,000",English,Show
S.W.A.T. (2017): Season 4,No,,"3,70,00,000",English,Show
Peaky Blinders: Season 6,No,10-06-2022,"3,69,00,000",English,Show
Seinfeld: Season 8,Yes,,"3,69,00,000",English,Show
The Mitchells vs. The Machines,Yes,30-04-2021,"3,69,00,000",English,Movie
PJ Masks: Season 4,No,,"3,67,00,000",English,Show
All For Love: Season 1 // Amar y vivir: Temporada 1,No,26-06-2020,"3,66,00,000",English,Show
Glamorous: Season 1,Yes,22-06-2023,"3,66,00,000",English,Show
Meekah: Season 1,Yes,,"3,66,00,000",English,Show
Peaky Blinders: Season 3,No,31-05-2016,"3,66,00,000",English,Show
Troll,Yes,01-12-2022,"3,66,00,000",English,Movie
Rebelde Way (2002): Temporada 1,No,,"3,65,00,000",English,Movie
The Big Bang Theory: Season 8,No,,"3,64,00,000",English,Show
Thicker Than Water: Season 1 // Jusqu'ici tout va bien: Saison 1,Yes,07-04-2023,"3,63,00,000",English,Show
Chris Rock: Selective Outrage,Yes,04-03-2023,"3,62,00,000",English,Movie
Daughter From Another Mother: Season 3 // Madre solo hay dos: Temporada 3,Yes,25-12-2022,"3,62,00,000",English,Show
Grown Ups (2010),No,,"3,62,00,000",English,Movie
Let Him Go,No,,"3,62,00,000",English,Movie
Outlander: Season 6,No,07-03-2022,"3,62,00,000",English,Show
Against the Ropes: Season 1 // Contra las cuerdas: Temporada 1,No,25-01-2023,"3,61,00,000",English,Show
Ozark: Season 1,Yes,21-07-2017,"3,61,00,000",English,Show
A Quiet Place Part II,No,,"3,60,00,000",English,Movie
My Little Pony: Friendship Is Magic: Season 1,Yes,,"3,60,00,000",English,Show
Power Rangers Dino Fury: Season 1,No,14-06-2021,"3,60,00,000",English,Show
Hotel Transylvania (2012),No,,"3,59,00,000",English,Movie
The Office (U.S.): Season 4,No,,"3,59,00,000",English,Show
Ancient Apocalypse: Season 1,Yes,11-11-2022,"3,58,00,000",English,Show
Missing (2023),No,,"3,58,00,000",English,Movie
Virgin River: Season 1,Yes,06-12-2019,"3,58,00,000",English,Show
Queen Cleopatra: Limited Series,Yes,10-05-2023,"3,57,00,000",English,Movie
Shameless (U.S.): Season 5,No,,"3,56,00,000",English,Show
Record of Ragnarok: Season 1 // çµ‚æœ«ã®ãƒ¯ãƒ«ã‚­ãƒ¥ãƒ¼ãƒ¬: ã‚·ãƒ¼ã‚ºãƒ³1,No,17-06-2021,"3,55,00,000",Japanese,Show
The Boss Baby: Back in the Crib: Season 1,Yes,19-05-2022,"3,55,00,000",English,Show
Wish Dragon,Yes,11-06-2021,"3,54,00,000",English,Movie
Unstable: Season 1,Yes,30-03-2023,"3,53,00,000",English,Show
Bling Empire: New York: Season 1,Yes,20-01-2023,"3,52,00,000",English,Show
Grey's Anatomy: Season 8,No,,"3,52,00,000",English,Show
King the Land: Limited Series // í‚¹ë”ëžœë“œ: ë¦¬ë¯¸í‹°ë“œ ì‹œë¦¬ì¦ˆ,No,17-06-2023,"3,52,00,000",Korean,Movie
The Big Bang Theory: Season 11,No,,"3,52,00,000",English,Show
Hospital Playlist: Season 1 // ìŠ¬ê¸°ë¡œìš´ ì˜ì‚¬ìƒí™œ: ì‹œì¦Œ 1,Yes,12-03-2020,"3,50,00,000",Korean,Show
Keep Breathing: Limited Series,Yes,28-07-2022,"3,50,00,000",English,Movie
The Big Bang Theory: Season 10,No,,"3,50,00,000",English,Show
Bad Boys for Life,No,,"3,49,00,000",English,Movie
Inventing Anna: Limited Series,Yes,11-02-2022,"3,48,00,000",English,Movie
The Big Bang Theory: Season 2,No,,"3,48,00,000",English,Show
El Cartel: Season 1,No,,"3,46,00,000",English,Show
That Girl Lay Lay: Season 2,No,23-02-2023,"3,46,00,000",English,Show
The Big Bang Theory: Season 3,No,,"3,46,00,000",English,Show
The Big Bang Theory: Season 9,No,,"3,46,00,000",English,Show
Unlock My Boss // ì‚¬ìž¥ë‹˜ì„ ìž ê¸ˆí•´ì œ,No,,"3,45,00,000",Korean,Movie
Bullet Train,No,,"3,44,00,000",English,Movie
How to Get Away With Murder: Season 1,No,,"3,43,00,000",English,Show
Pressure Cooker: Season 1,Yes,06-01-2023,"3,43,00,000",English,Show
CoComelon: Season 8,Yes,10-04-2023,"3,42,00,000",English,Show
Shameless (U.S.): Season 6,No,,"3,41,00,000",English,Show
Vikings (2013): Season 2,No,,"3,41,00,000",English,Show
Cobra Kai: Season 1,Yes,28-08-2020,"3,40,00,000",English,Show
Grey's Anatomy: Season 7,No,,"3,40,00,000",English,Show
Jurassic World,No,,"3,40,00,000",English,Movie
Riverdale: Season 2,No,12-10-2017,"3,40,00,000",English,Show
How to Get Rich: Season 1,Yes,18-04-2023,"3,39,00,000",English,Show
Prisoners (2013),No,,"3,39,00,000",English,Movie
Forecasting Love and Weather: Season 1 // ê¸°ìƒì²­ ì‚¬ëžŒë“¤: ì‚¬ë‚´ì—°ì•  ìž”í˜¹ì‚¬ íŽ¸: ì‹œì¦Œ 1,Yes,12-02-2022,"3,38,00,000",Korean,Show
Gabby's Dollhouse: Season 4,Yes,01-02-2022,"3,38,00,000",English,Show
Grey's Anatomy: Season 9,No,,"3,38,00,000",English,Show
Half Bad: The Bastard Son & The Devil Himself: Season 1,Yes,28-10-2022,"3,38,00,000",English,Show
Money Heist: Part 3 // La casa de papel: Parte 3,Yes,19-07-2019,"3,37,00,000",English,Movie
Seinfeld: Season 9,Yes,,"3,37,00,000",English,Show
The 100: Season 3,No,,"3,37,00,000",English,Show
Teen Titans Go!: Season 2,No,,"3,35,00,000",English,Show
White Noise,Yes,30-12-2022,"3,35,00,000",English,Movie
Barbecue Showdown: Season 2,Yes,26-05-2023,"3,34,00,000",English,Show
La piloto: Season 1,No,,"3,34,00,000",English,Show
The Witcher: Season 3,Yes,29-06-2023,"3,34,00,000",English,Show
The Crown: Season 2,Yes,08-12-2017,"3,33,00,000",English,Show
Outlander: Season 5,No,15-02-2020,"3,32,00,000",English,Show
Peaky Blinders: Season 4,No,20-12-2017,"3,32,00,000",English,Show
Shameless (U.S.): Season 9,No,,"3,31,00,000",English,Show
The Crown: Season 4,Yes,15-11-2020,"3,31,00,000",English,Show
S.W.A.T. (2017): Season 5,No,,"3,30,00,000",English,Show
Shooter: Season 3,No,22-06-2018,"3,30,00,000",English,Show
Through My Window // A travÃ©s de mi ventana,Yes,04-02-2022,"3,30,00,000",Non-English,Movie
Gabby's Dollhouse: Season 3,Yes,19-10-2021,"3,29,00,000",English,Show
"Nevertheless,: Season 1 // ì•Œê³ ìžˆì§€ë§Œ,: ì‹œì¦Œ 1",Yes,19-06-2021,"3,28,00,000",Korean,Show
The Big Bang Theory: Season 12,No,,"3,28,00,000",English,Show
Good Girls: Season 1,Yes,03-07-2018,"3,27,00,000",English,Show
The Bad Guys (2022),No,,"3,27,00,000",English,Movie
Orange Is the New Black: Season 3,Yes,11-06-2015,"3,26,00,000",English,Show
Outlander: Season 3,No,10-09-2017,"3,25,00,000",English,Show
Devil in Ohio: Limited Series,Yes,02-09-2022,"3,24,00,000",English,Movie
Jane The Virgin: Season 3,No,,"3,24,00,000",English,Show
Our Planet II,Yes,14-06-2023,"3,24,00,000",English,Movie
The Flash (2014): Season 4,No,,"3,24,00,000",English,Show
Grey's Anatomy: Season 10,No,,"3,23,00,000",English,Show
My Name: Season 1 // ë§ˆì´ ë„¤ìž„: ì‹œì¦Œ 1,Yes,15-10-2021,"3,23,00,000",Korean,Show
Shameless (U.S.): Season 7,No,,"3,23,00,000",English,Show
Shooter (2007),No,,"3,23,00,000",English,Movie
Friends (1994): Season 10,No,,"3,22,00,000",English,Show
Cobra Kai: Season 4,Yes,31-12-2021,"3,21,00,000",English,Show
High Water: Season 1 // Wielka Woda: Sezon 1,Yes,05-10-2022,"3,21,00,000",English,Show
Hospital Playlist: Season 2 // ìŠ¬ê¸°ë¡œìš´ ì˜ì‚¬ìƒí™œ: ì‹œì¦Œ 2,Yes,17-06-2021,"3,21,00,000",Korean,Show
Me Time,Yes,26-08-2022,"3,21,00,000",English,Movie
My Name Is Vendetta // Il Mio Nome Ã¨ Vendetta,Yes,30-11-2022,"3,21,00,000",Non-English,Movie
The Fabulous: Season 1 // ë” íŒ¨ë·¸ëŸ¬ìŠ¤: ì‹œì¦Œ 1,Yes,23-12-2022,"3,20,00,000",Korean,Show
Oddballs: Season 1,Yes,07-10-2022,"3,19,00,000",English,Show
Pitch Perfect,No,,"3,19,00,000",English,Movie
The Seven Deadly Sins // ä¸ƒã¤ã®å¤§ç½ª,No,31-08-2015,"3,19,00,000",Japanese,Movie
Unauthorized Living: Season 1 // Vivir sin permiso: Temporada 1,Yes,08-02-2019,"3,18,00,000",English,Show
13 Reasons Why: Season 1,Yes,31-03-2017,"3,17,00,000",English,Show
Over the Hedge,No,,"3,17,00,000",English,Movie
Our Beloved Summer: Season 1 // ê·¸ í•´ ìš°ë¦¬ëŠ”: ì‹œì¦Œ 1,Yes,06-12-2021,"3,16,00,000",Korean,Show
Good Girls: Season 4,Yes,31-08-2021,"3,15,00,000",English,Show
Turn of the Tide: Season 1 // Rabo de Peixe: Temporada 1,Yes,26-05-2023,"3,15,00,000",English,Show
The SpongeBob Movie: Sponge on the Run,No,05-11-2020,"3,14,00,000",English,Movie
Good Girls: Season 2,Yes,31-05-2019,"3,13,00,000",English,Show
PokÃ©mon Ultimate Journeys: The Series: Part 1,No,21-10-2022,"3,13,00,000",Non-English,Movie
Mission Majnu // à¤®à¤¿à¤¶à¤¨ à¤®à¤œà¤¨à¥‚,Yes,20-01-2023,"3,12,00,000",Hindi,Movie
Peaky Blinders: Season 5,No,04-10-2019,"3,12,00,000",English,Show
Bad Boys II,No,,"3,11,00,000",English,Movie
Betty en NY: Season 1,No,,"3,11,00,000",English,Show
El Chapo: Season 3,Yes,27-07-2018,"3,11,00,000",English,Show
Rise of Empires: Ottoman: Mehmed vs. Vlad,Yes,29-12-2022,"3,11,00,000",English,Movie
The Sea Beyond: Season 1 // Mare Fuori: Stagione 1,No,,"3,10,00,000",English,Show
The Sea Beyond: Season 2 // Mare Fuori: Stagione 2,No,,"3,10,00,000",English,Show
Where the Crawdads Sing,No,,"3,10,00,000",English,Movie
Anne with an E: Season 1,Yes,12-05-2017,"3,09,00,000",English,Show
Dead to Me: Season 3,Yes,17-11-2022,"3,09,00,000",English,Show
My Lover My Killer: Season 2,No,,"3,08,00,000",English,Show
Still Time // Era ora,Yes,16-03-2023,"3,08,00,000",English,Movie
Hunter X Hunter (2011): Season 5 // HUNTERÃ—HUNTER: ã‚·ãƒ¼ã‚ºãƒ³5,No,,"3,07,00,000",Japanese,Show
